date,timestamp,container_name,token_count,tokens_per_second,audio_duration,real_time_factor,container_runtime_sec,wer,mer,wil,wip,cer,threads
2025-04-17,18:48:12,whisper-large-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_complex-gpu1,2218,17.46,1107.122,0.115,127,0.1664,0.1636,0.2572,0.7428,0.0439,0
2025-04-17,18:59:47,whisper-large-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_fast,1467,1.79,930.142,0.883,821,0.2840,0.2636,0.3780,0.6220,0.1128,4
2025-04-17,19:03:23,whisper-large-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_fast,2219,2.14,1107.122,0.937,1037,0.1876,0.1857,0.2817,0.7183,0.0461,4
2025-04-17,19:05:41,whisper-large-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_complex,1455,1.24,930.142,1.265,1177,0.2329,0.2153,0.3023,0.6977,0.1175,4
2025-04-17,19:06:43,whisper-large-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_complex,2208,1.78,1107.122,1.119,1239,0.1889,0.1863,0.2907,0.7093,0.0358,4
2025-04-17,19:07:20,whisper-turbo-ubuntu_harvard_gpu_complex-gpu1,,NA,18.356,1.961,36,NA,NA,NA,NA,NA,0
2025-04-17,19:07:21,whisper-turbo-ubuntu_harvard_gpu_fast-gpu0,43,1.39,18.356,1.689,31,0.0000,0.0000,0.0000,1.0000,0.0000,0
2025-04-17,19:07:35,whisper-turbo-ubuntu_harvard_cpu_fast,43,0.90,18.356,2.615,48,0.0000,0.0000,0.0000,1.0000,0.0000,4
2025-04-17,19:07:39,whisper-turbo-ubuntu_harvard_cpu_complex,43,0.88,18.356,2.669,49,0.0000,0.0000,0.0000,1.0000,0.0000,4
2025-04-17,19:08:04,whisper-turbo-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_fast-gpu2,1431,18.35,930.142,0.084,78,0.2224,0.2108,0.3101,0.6899,0.0826,0
2025-04-17,19:08:32,whisper-turbo-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_fast-gpu0,2060,19.43,1107.122,0.096,106,0.2622,0.2593,0.3551,0.6449,0.1191,0
2025-04-17,19:08:42,whisper-turbo-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_complex-gpu3,1479,12.75,930.142,0.125,116,0.3276,0.3094,0.4533,0.5467,0.1232,0
2025-04-17,19:08:55,whisper-turbo-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_complex-gpu1,2218,17.06,1107.122,0.117,130,0.1664,0.1636,0.2572,0.7428,0.0441,0
2025-04-17,19:20:56,whisper-turbo-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_fast,1430,1.68,930.142,0.915,851,0.2592,0.2463,0.3624,0.6376,0.0882,4
