Date & Time,Pod Name,Processor/GPU Name,Core/GPU Count,Max Usage (%),Max GPU Temperature (C),Max Pwr:Usage/Cap (%),Max VRAM Usage (%)
2025-03-04_22-14-02,whisper-ubuntu-gpu,NVIDIA L4,4,0,34,22.805555555555557,0.004341408352869671
2025-03-04_22-14-12,whisper-ubuntu-gpu,NVIDIA L4,4,0,34,22.805555555555557,0.004341408352869671
2025-03-04_22-14-23,whisper-ubuntu-gpu,NVIDIA L4,4,0,34,22.805555555555557,0.004341408352869671
2025-03-04_22-14-33,whisper-ubuntu-gpu,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-14-43,whisper-ubuntu-gpu,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-14-53,whisper-ubuntu-gpu,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-15-03,whisper-ubuntu-gpu,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-15-13,whisper-ubuntu-gpu,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-15-24,whisper-ubuntu-gpu,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-15-34,whisper-ubuntu-gpu,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-15-44,whisper-ubuntu-gpu,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-15-54,whisper-ubuntu-gpu,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-16-04,whisper-ubuntu-gpu,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-16-14,whisper-ubuntu-gpu,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-16-25,whisper-ubuntu-gpu,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-16-35,whisper-ubuntu-gpu,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-16-45,whisper-ubuntu-gpu,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-16-55,No Pod,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-17-05,No Pod,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-17-15,No Pod,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-17-26,No Pod,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-17-36,whisper-ubi-cpu,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-17-46,whisper-ubi-cpu,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-17-56,whisper-ubi-cpu,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-18-06,whisper-ubi-cpu,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-18-16,whisper-ubi-cpu,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-18-27,whisper-ubi-cpu,NVIDIA L4,4,0,33,22.805555555555557,0.004341408352869671
2025-03-04_22-18-37,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-18-47,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-18-57,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-19-07,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-19-18,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-19-28,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-19-38,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-19-48,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-19-58,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-20-08,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-20-19,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-20-29,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-20-39,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-20-49,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-20-59,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-21-10,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-21-20,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-21-30,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-21-40,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-21-50,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-22-01,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-22-11,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-22-21,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-22-31,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-22-41,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-22-51,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-23-02,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-23-12,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-23-22,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-23-32,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-23-42,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-23-52,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-24-03,whisper-ubi-cpu,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-24-13,No Pod,NVIDIA L4,4,0,32,22.805555555555557,0.004341408352869671
2025-03-04_22-24-23,whisper-ubi-gpu,NVIDIA L4,4,0,32,23.041666666666664,0.017365633411478683
2025-03-04_22-24-34,whisper-ubi-gpu,NVIDIA L4,4,0,33,34.91666666666667,0.017365633411478683
2025-03-04_22-24-44,whisper-ubi-gpu,NVIDIA L4,4,0,34,36.01388888888889,0.017365633411478683
2025-03-04_22-24-54,whisper-ubi-gpu,NVIDIA L4,4,0,35,31.236111111111107,0.017365633411478683
2025-03-04_22-25-04,whisper-ubi-gpu,NVIDIA L4,4,0,36,27.944444444444443,0.017365633411478683
2025-03-04_22-25-14,whisper-ubi-gpu,NVIDIA L4,4,0,35,22.805555555555557,0.017365633411478683
2025-03-04_22-25-24,whisper-ubi-gpu,NVIDIA L4,4,0,34,22.805555555555557,0.017365633411478683
2025-03-04_22-25-35,whisper-ubi-gpu,NVIDIA L4,4,0,35,37.68055555555556,7.202396457410784
2025-03-04_22-25-45,whisper-ubi-gpu,NVIDIA L4,4,0,37,38.04166666666667,7.202396457410784
2025-03-04_22-25-55,whisper-ubi-gpu,NVIDIA L4,4,0,37,28.083333333333332,0.017365633411478683
2025-03-04_22-26-05,whisper-ubi-gpu,NVIDIA L4,4,0,36,22.805555555555557,0.017365633411478683
2025-03-04_22-26-15,whisper-ubi-gpu,NVIDIA L4,4,0,35,22.805555555555557,0.017365633411478683
2025-03-04_22-26-25,whisper-ubi-gpu,NVIDIA L4,4,0,35,22.805555555555557,0.017365633411478683
